id,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,label
0,quicken_2007_deluxe_win_cd,intuit,57.99,sony_acid_music_studio_pc,,69.99,?
1,micromat_diskstudio_mac,micromat,99.0,micromat_inc_diskstudio,,43.36,?
2,punch_professional_home_design_suite,punch_software,69.99,punch_software_35100_punch_professional_home_design_suite_small_box,punch_software,62.99,?
3,20100_punch_5_in_1_home_design_complete_package_1_user_cd_win_english,,34.26,sega_of_america_inc_rome_total_war_gold_edition,segaofamericainc,18.77,?
4,i_love_the_usa,globalsoftwarepublishing,9.99,global_software_a1055_i_love_the_usa,global_software,11.99,?
5,633808920357_wasp_mobileinventory_network_edition_with_wdt3200_v_3_complete_package,,2097.24,serious_magic_ultra2_master_sets_library_2_windows,serious_magic,276.5,?
6,quickverse_mac_bible_study_2007_white_box,findex,59.95,findexcom_inc_quickverse_mac_bible_study_2007_white_box,,37.18,?
7,nero_7_ultra_edition_enhanced_pc_home_entrmnt_soln,neso_usa,99.99,nero_nero_7_ultra_edition_enhanced_cddvd_burning_software_for_windows_authoring_software,,79.99,?
8,the_print_shop_22_deluxe,encore,49.99,the_printshop_v22_deluxe,,29.9,?
9,garmin_bluechart_mediterranean_southeast,,299.0,post_mortem,,7.49,?
10,andrew_lloyd_webber_yamaha_andrew_lloyd_webber_cats_smart_pianosoft_2disk_set,,22.13,photo_explosion_deluxe_r_20,,49.99,?
11,h_r_block_taxcut_2006_premium_federal_state_efile,h_r_block,59.99,architecturecentric_software_project_management_a_practical_guide,,39.59,?
12,i_transfer_dvds_2_ipod_edition_winmac,metoosoftware,29.99,me_too_software_i_transfer_dvds_2_ipod,metoosoftware,29.99,?
13,easy_home_massage_dvd,,10.95,r1800144_microsoft_windows_server_license_software_assurance_1_cal_open_business,,41.58,?
14,learning_quickbooks_r_for_windows_r,,39.99,avid_xpress_pro_video_editing_software_for_mac_and_windows_professional_editing_software,,1449.0,?
15,nero_mix_cd_recording_software,,41.42,topics_entertainment_audio_success_series_winning_strategies,,31.06,?
16,lego_star_wars_ii_the_original_trilogy_for_mac,feral_interactive,39.99,aspyr_lego_star_wars_ii,,44.95,?
17,00dexx17cc01_designcad_v_17_complete_package_1_user_cd_win,,25.54,webroot_software_inc_50410_spy_sweeper_wantivirus_family_edition_small_box_win_2000_xp,,41.97,?
18,adobe_photoshop_elements_40_mac,adobe,89.99,adobe_photoshop_elements_40_mac,,79.99,?
19,sony_creative_software_vegas43_dvd_v_70_complete_product,,420.55,abacus_software_ss69_corporate_pilot_2,abacus_software,28.99,?
20,hoyle_board_games,encore,9.99,encore_software_10027_hoyle_board_games_win_98_me_2000_xp,,7.47,?
21,marcy_marxer_cathy_fink_homespun_video_making_and_playing_homemade_instruments,,14.86,39503824_microsoft_exchange_server_2007_enterprise_edition_complete_package_1_server,,6594.2,?
22,quark_119700_quarkxpress_65_mac,quark,736.99,dv_rack_2_win_retail_ue1u,adobe,908.69,?
23,super_collapse_3,mumbo_jumbo,19.99,super_collapse_3,,22.99,?
24,hoyle_casino_2007,encore,19.99,encore_software_10675_hoyle_casino_2007_win_98_me_2000_xp,,18.97,?
25,david_holt_homespun_clawhammer_banjo_2_repertoire_and_technique,,22.13,cisco_pgw2200_include_redundant,,159787.95,?
26,media_studio_for_psp_standard_editon,encore_software,29.99,media_studio_for_psp_standard_editon_800060,,47.99,?
27,rosetta_stone_vietnamese_level_1_homeschool_edition_cdrom,,179.99,webroot_software_inc_66210_spy_sweeper_mass_merchant_win_98_me_2000_xp,,25.97,?
28,suretrak_project_manager_30,primavera_systems,499.0,windows_vista_business_sp_microsoft_66j00063,,272.38,?
29,sibelius_5_professional_edition,sibeliussoftwareltd,599.0,windows_xp_pro_nx7400_os,hewlett_packard,,?
30,bodyworks_60_25user_building_site_license,learning_company,399.95,microsoft_windows_vista_ultimate_upgrade_dvd,microsoft,259.95,?
31,adobe_flash_cs3_professional_mac,,699.0,microsoft_visual_studio_team_suite_2005_with_msdn_premium_cd_dvd,microsoft,10949.0,?
32,instant_play_electric_guitar_jewel_box,topics_entertainment,6.99,instant_play_electric_guitar_express_jc,,12.9,?
33,webobjects_52,apple,699.95,apple_software_m8789za_webobjects_52,apple_software,648.99,?
34,sony_vegas_movie_studio_dvd_8_platinum_edition,sony_media,129.95,sony_media_software_vegas_movie_studio_dvd_8_platinum_edition,,100.97,?
35,adobe_premiere_pro_cs3_upgrade,adobe,299.0,premiere_pro_cs3_mac_upgrade,,320.25,?
36,john_deere_busy_days_in_deerfield_valley,destineer_publishing,19.99,apple_final_cut_studio_2_production_suite_for_mac_av_production_software,,1298.95,?
37,cisco_csab250dtopk9_cisco_security_desktop_agent_win_sol_250_agent_bundle_cisco_security_desktop_agent_license_250_agents_0746320832500,,10267.54,destineer_rise_of_nations_gold_edition,,45.99,?
38,totally_spies_zombie_jamboree_by_brighter_minds,brightermindsmediainc,9.99,spyware_xterminator,,24.9,?
39,microsoft_windows_terminal_server_2003_client_additional_license_for_users_5_user,microsoft,669.0,microsoft_windows_terminal_server_2003_client_additional_license_for_users_5_user_824048,,719.04,?
40,more_brain_games,csdc,9.99,csdc_more_brain_games_on_hand_software,,7.17,?
41,intuit_inc_quicken_home_inventory_manager,,29.78,listen_for_ipod_magnetic_time_win_2000_xp,sosaggregationcompany,39.99,?
42,t7400004_microsoft_windows_small_business_server_2003_license_20_additional_user_cals,,1834.4,emc_retrospect_75_professional_for_windows_upgrade,dantz,,?
43,horacio_hernandez_hudson_music_horacio_hernandez_live_at_the_modern_drummer_festival_2000,,18.5,emc_auth_mgr_mnt_base_9x5_22m_peru_35055000_u_aut0005000bs22,,18.0,?
44,individual_software_jceth6_total_3d_home_deluxe_jc,individual_software,9.99,threetoapage_payroll_checks,,104.39,?
45,knowledge_adventure_785105_jumpstart_exploregr13_add_on,,12.99,home_budget_for_dummies,atari,,?
46,masque_10192_slots_from_bally_gaming,masque,18.99,canopus_77010158100_let_s_edit,canopus,99.0,?
47,scansoft_paperport_professional_11_5_user_license,nuance_communications_inc,949.99,microsoft_u0200024_open_sa_biztalk_hipaa_accltr_nt_1p,,2335.47,?
48,cubase_se3_educational_edition,steinberg,,u8400101_microsoft_windows_server_2003_for_small_business_license_5_device_cals_ope,,303.9,?
49,bling_software_limited_safekeeper_plus,,39.99,sat_act_and_psat_2007_platinum,topics_entertainment,58.5,?
50,palo_alto_business_plan_pro_2007,paloaltosoftware,99.95,palo_alto_software_bppx_palo_alto_business_plan_2007_pro_complete_product_business_planning_1_user_complete_product_standard_pc,,83.97,?
51,3d_bridge_deluxe_mac,freeverse_software,24.99,freeverse_3d_bridge_deluxe,,24.99,?
52,hidden_expedition_titanic,activision,19.99,single_pack_cardscan_software_version_80,,123.04,?
53,individual_software_inc_systemsuite_8_professional_us_pos,,46.42,freeverse_software_toysight_gold,,21.23,?
54,valuesoft_tune_transfer_for_ipod_software_for_windows_xp,valuesoft,29.95,valusoft_tune_transfer_for_ipod,,21.99,?
55,jumpstart_learning_games_phonics_pc_mac,knowledge_adventure,9.99,software_engineering_measurement_and_analysis_by_steven_strauss_9780849319303,,89.95,?
56,11k2990_international_printing_for_mysapcom_complete_package_1_client_cd_englis,,149.43,musicalis_guitar_workshop,globalsoftwarepublishing,9.99,?
57,chicken_hunter_wanted_jc,encore,9.99,encore_software_10760_chicken_hunter_wanted_win_98_me_2000_xp,,7.69,?
58,instant_immersion_japanese_20,topics_entertainment,19.99,ghost_recon_gold_edition_dvdrom,,20.95,?
59,pokemon_diamond_version_nintendo_ds,,39.99,mobi_recam_camera_monitoring_and_notification_software,mobi,119.99,?
60,sims_2_season_expansion_pack,,37.99,make_printmusic_2006_software_music_production_software,,75.95,?
61,graphic_simulations_corporation_fa_18_operation_iraqi_freedom,graphicssimulationscorporation,37.82,adobe_creative_suite_cs3_web_standard_upsell,adobe,799.0,?
62,avid_liquid_vs_7_software,avid_technology,888.75,micromat_protogo,micromat,,?
63,adobe_premiere_elements_30_lb,adobe,99.99,photoshow_deluxe,,39.92,?
64,marketcircle_daylite_v3_0_mac,csdc,149.0,turtlebeach_used_wave_20_20_software_for_windows_software_plug_ins,,19.95,?
65,burning_monkey_mahjongg_mac,freeverse_software,24.99,freeverse_burning_monkey_mahjong_3d,,24.99,?
66,epson_storyteller_photo_book_creator_8_x_10_20_pages,epson,29.99,gods_lands_of_infinity_special_edition,strategy_first,29.99,?
67,pinnacle_mobile_media_converter,pinnacle,29.99,pinnacle_mobile_media_converter_software_for_windows_ipod_software,,29.95,?
68,microsoft_asp_net_web_matrix,microsoft,30.0,s6500393_microsoft_virtual_pc_for_mac_v_70_w_windows_2000_complete_package,,238.48,?
69,total_training_for_adobe_creative_suite_3_design_premium,,279.95,microsoft_r_office_word_2004_for_mac_full_version,,231.29,?
70,filemaker_mobile_8_for_palm_os_and_pocket_pc,filemaker,69.0,phantom_efx_reel_deal_slots_v_20,,7.36,?
71,varmint_hunter_jewel_case,encore,9.99,c8a00066_microsoft_dynamics_crm_professional_v_30_product_upgrade_license_20,,9676.92,?
72,ilisten_with_headset_microphone_17,csdc,,w1rpfwx00_crystal_reports_xi_professional_edition_complete_package_1_user_win_fren,,538.5,?
73,stuffit_deluxe_11,aladdin_systems,79.99,allume_stuffit_deluxe_11_os_x_104_or_higher,,79.99,?
74,allume_stuffit_deluxe_11_macintosh_dvd_pack_sold_only_with_a_apple_cpu,,19.99,910523002_rumba_as400_edition_v_72_upgrade_package_1_processor_tier_p50_c,,20069.43,?
75,sony_creative_software_sf9006_sound_forge_9_boxed_upgrade_sound_editing_sw,,127.97,emc_auth_mgr_mnt_entupgext_10m_peru_3050u_aut0000050ue10,,17.0,?
76,lavasoft_adaware_plus_edition,tri_synergy,29.99,lavasoft_adaware_plus_edition,,24.9,?
77,bb0gyna_ibm_informix_dynamic_server_enterprise_edition_v_94_media_cd_linux,,195.53,instant_immersion_french_20,topics_entertainment,29.99,?
78,encore_software_10072_mavis_beacon_typing_17_deluxe_by_broderbund,,33.97,resumemaker_premier,,12.95,?
79,01ssc6011_sonicwall_update_service_for_sonicwall_content_security_manager_2100_cf_mainte,,5781.25,encore_software_10731_the_print_shop_22_pro_publisherdeluxe_sb_cs_by_the_print_shop,,81.97,?
80,microsoft_r_great_plains_dynamics_compatible_laser_checks,,106.29,stomp_inc_recover_lost_data_2005,stomp_inc,39.95,?
81,synet_pc_sharing_kit_w17ft_usb_extcable,synetelectronicsinc,,synet_electronics_inc_synet_pc_sharing_kit_w17ft_usb_extcable,synetelectronicsinc,26.14,?
82,the_universe_winmac_jewel_case,fogware_publishing,9.99,elementary_school_space_the_universe_pcmac_fogware,,9.99,?
83,gpak_organizer_case_for_nintendo_ds_lite_gaming_console_pink,,19.99,autocad_2007_courseware_customizing_the_interface,autodesk_psg,47.95,?
84,sony_playstation_2_the_art_of_fighting_anthology,,14.99,software_cinema_dvdrom_dvdrom_photoshop_cs2_fundamental_techniques_training_photoshop_software,,159.95,?
85,fogware_publishing_10356_high_school_us_history_2_foreign_policy_reform,,6.84,strawberry_shortcake_and_her_berry_best_friends_for_pc,,19.99,?
86,omnioutliner_professional_30,csdc,69.95,omnioutliner_professional_30_for_mac,,69.99,?
87,instant_immersion_hawaiian_audio,topics_entertainment,,topics_entertainment_instant_immersion_hawaiian_audio,,12.05,?
88,quickbooks_r_pro_2007_edition_3user,,499.99,red_hat_enterprise_linux_ws_v_4_update_4_license_1_workstation_rl296aa,hewlett_packard,,?
89,caillou_magical_adventures,brightermindsmediainc,19.99,caillou_magical_adventures_by_brighter_minds,brightermindsmediainc,19.99,?
90,sony_imzrs301_imzrs301_additional_client_upgrade_cctv_software,,374.95,hijack2_identity_and_data_security_suite,,44.9,?
91,crystal_reports_11_professional_full_product_french,business_objects,909.66,crystal_reports_xi_professional_edition_complete_package,,537.57,?
92,11105947_symantec_backup_exec_11d_for_windows_small_business_server_standard_w_continu,,479.12,autodesk_maya_85_complete_3d_animation_software_slm_animation_software,,1989.95,?
93,enfocus_software_pp70sg001_pitstop_pro_70,,558.97,web_graphics_creator,sosaggregationcompany,39.95,?
94,microsoft_student_with_encarta_premium_2008_dvd,microsoft,49.95,microsoft_student_with_encarta_premium_2008_complete_package,,43.6,?
95,elementary_school_advantage_2007,encore_software,29.99,encore_software_10443_elementary_school_advantage_2007_win_98_me_2000_xp,,26.97,?
96,systemsuite_8_professional,individual_software,49.99,individual_software_inc_systemsuite_8_professional_us_pos,,46.42,?
97,encore_software_10478_encore_printmaster_v_170_gold_complete_product_creativity_application_1_user_s_complete_product_standard_pc,,17.97,sony_vegas7_0_dvd_editing_software_with_sound_forge_8_for_windows_professional_editing_software,,549.95,?
98,corel_intervideo_windvd_8_gold_software_for_windows_authoring_software,,49.95,east_west_propack_for_garageband_av_production_software,,152.96,?
99,microsoft_office_2004_standard_upgrade_mac,microsoft,239.99,microsoft_office_2004_std_upgrade,,219.99,?
100,nikon_pictureproject_16_other_software,,44.95,adobe_after_effects_professional_7_software_for_windows_effects_software,,999.0,?
101,dreamcatcher_interactive_mark_the,,26.14,essential_business_tools_20,,9.95,?
102,millie_s_math_house_ages_37_winmac,ibm_aapmiscparts,,millies_math_house,ibm_aapmiscparts,9.9,?
103,microsoft_office_2004_professional_mac,microsoft,499.99,bb0gyna_ibm_informix_dynamic_server_enterprise_edition_v_94_media_cd_linux,,195.53,?
104,punch_master_landscape_home_design,punch_software,59.99,punch_software_26100_punch_master_landscape_and_home_design_small_box,punch_software,45.99,?
105,instant_immersion_japanese_audio_book_audio_book,,19.95,iris_inc_irispen_express_translator,,142.29,?
106,apple_ilife_06_software_av_production_software,,79.0,norton_internet_security_v3_0_mac_symantec_10069614in,,83.43,?
107,marketcircle_daylite_v3_0_mac,csdc,149.0,daylite_v3_0_marketcircle_mac_104_or_later,,149.0,?
108,vegas_7_dvdsoundforge8bundl,sony_media,722.0,art_dvd_pc_mac,fogware_publishing,29.99,?
109,listen_for_ipod_magnetic_time,sosaggregationcompany,39.99,listen_for_ipod_magnetic_time_win_2000_xp,sosaggregationcompany,39.99,?
110,backup_exec_v11d_for_windows_servers_advanced_open_file_option_symantec_10,,390.1,hewlett_packard_231319b26_secure_path_v4_0_c_for_windows_workgroup_ed_50u_lics_media_0808736757386,,60190.54,?
111,global_software_a9716jcw_crossword_addict_win_95_98_me_2000_xp,globalsoftwarepublishingnorthamericainc,8.79,robert_thies_cecilia_tsan_yamaha_sonatas_for_cello_for_cdcompatible_modules,,29.4,?
112,adobe_creative_suite_cs3_design_premium_mac,adobe,1799.0,adobe_cs3_design_premium,,1865.99,?
113,blank_laser_checks,,54.99,rayman_10th_anniversary_collection,ubi_soft,19.99,?
114,intuit_quicken_deluxe_2007_software_for_windows_tax_finance_software,,54.95,intuit_inc_299529_qb_prem_mfg_whlesle_07_intuit_inc_299529,,335.99,?
115,aspyr_media_inc_sims_2_nightlife,,33.21,bjmt_art_explosion_photo_objects_150000_complete_package_1_user_dvd_mac,,43.22,?
116,dv_rack_2_win_retail_ue1u,adobe,908.69,world_book_encyclopedia_2006,topics_entertainment,19.99,?
117,software_cinema_dvdrom_dvdrom_the_painted_portrait_for_photographers_training_photoshop_software,,124.95,symantec_10517904_client_security_v_31_business_pack_complete_product_internet_security_50_user_s_complete_product_standard_pc_free_shipping,,1895.97,?
118,sony_super_duper_music_looper,sonymediasoftware,19.99,sony_media_software_super_duper_music_looper_software_music_production_software,sonymediasoftware,19.95,?
119,homespun_norman_blake_s_guitar_techniques_dvd_2_ten_stellar_songs_and_instrumentals,,22.13,1950824l1_technical_support_maintenance_1_year_english,,401.18,?
120,ca_internet_security_suite_2007_3_user,computer_associates,69.95,software_engineering_using_the_upedu_by_pierre_n_robillard_9780201754544,,92.2,?
121,sony_vegas7_0_dvd_editing_software_with_sound_forge_8_for_windows_professional_editing_software,,549.95,micromat_protogo,micromat,,?
122,printshop_20_pro_publisher,,34.9,star_wars_episode_iii_activity_center,,10.95,?
123,panda_internet_security_2007_panda_software,,49.99,instant_immers_italian_dlux_2,,36.11,?
124,wedding_fonts,,14.99,01ssc7520_sonicwall_email_antivirus_mcafee_and_sonicwall_time_zero_subscription_license,,1306.68,?
125,i_love_the_usa,globalsoftwarepublishing,9.99,reel_deal_casino_shuffle_master_edition,phantom_efx,19.99,?
126,acrobat_professional_8_mac_upsell_standardprofessional,adobe,273.0,national_geographic_presents_redshift_5_planetarium_software,topics_entertainment,39.99,?
127,land_before_time_preschool,brightermindsmediainc,9.99,the_land_before_time_preschool_adventure,brightermindsmediainc,12.9,?
128,spy_sweeper_wantivirus_family_edition,webroot_software,49.95,webroot_software_inc_50210_spy_sweeper_wantivirus_family_edition_mass_merchant_win_2000_xp,,41.97,?
129,totally_spies_total_swamp_romp_pc_mac,brightermindsmediainc,19.99,totally_spies_total_swamp_romp_by_brighter_minds,brightermindsmediainc,19.99,?
130,adobe_creative_suite_cs3_production_premium,adobe,1699.0,adobe_production_premium_cs3_software_suite_for_windows_professional_editing_software,,1698.95,?
131,3d_home_architect_landscape_v_8by_encore_software,,26.36,zone_alarm_pro_5,,12.9,?
132,troy_stetina_hal_leonard_corporation_beginning_rock_lead_guitar_learn_to_play_rock_leads,,11.23,avery_designpro_5_software_for_use_with_all_avery_printable_products_each,,29.07,?
133,panda_software_govt_entsec_truprevent_1025u_2yr_ub2pesapragov,,44.0,power_production_storyboard_quick_5_software_for_mac_and_windows_animation_software,,299.0,?
134,madison_media_software_aspvms8000_acad_vegas_movie_studio_dvd_8_platinum,sonypicturesdigitalentertainment,81.97,datanav_the_alpha_and_omega_of_software,,22.94,?
135,web_radio_recorder,magix_entertainment,,magix_webradio_recorder_pc_magix_entertainment,,24.99,?
136,print_shop_22_pro_publisher_deluxe,encore,99.99,encore_inc_print_shop_22_pro_publisher_deluxe,,85.07,?
137,brothers_in_arms_road_to_hill_30_dvdrom,ubi_soft,19.99,ubisoft_brothers_in_arms_road_to_hill_30_pc_thers_in_ar,,19.99,?
138,rome_total_war_gold_edition,segaofamericainc,19.99,sega_of_america_inc_rome_total_war_gold_edition,segaofamericainc,18.77,?
139,i_copydvds_2_professional_edition,metoosoftware,27.9,backyard_skateboarding,,7.95,?
140,the_printshop_business_card_maker_jewel_case,riverdeeplearningcompany,9.99,encore_inc_printshop_business_card_maker,riverdeeplearningcompany,8.01,?
141,eu063av_aba_microsoft_windows_xp_professional_license_and_media_1_user_cto_english,,137.09,microsoft_office_2004_standard_mac,microsoft,399.99,?
142,quicken_2007_home_business,intuit,89.95,intuit_quicken_home_and_business_2007_software_for_windows_tax_finance_software,,89.95,?
143,onone_software_pps30211_on1_plugin_suite_v_30_for_adobe_photoshop_complete_product_image_collectioneditingarchive_complete_product_pc_mac_intelbased_mac,,365.97,dvo_enterprises_inc_cookn_low_fat,,17.55,?
144,susteen_data_pilot_universal_essentials,,59.99,fogware_publishing_10356_high_school_us_history_2_foreign_policy_reform,,6.84,?
145,acrobat_professional_8_windows,adobe,273.0,adobe_systems_inc_adobe_acrobat_80_professional_upsell_stdpro,,157.36,?
146,sony_psp_media_manager,sonycomputerentertainment,24.99,sony_media_manager_for_psp_98598,sonycomputerentertainment,24.99,?
147,pc_cakewalk_guitar_tracks_pro_3,cakewalk,149.99,spanish_before_you_know_it_deluxe,,10.95,?
148,kaplan_satactpsat_gold_2007_winmac,topics_entertainment,29.99,kaplan_actsatpsat_gold_2007_mac_os_x,,22.99,?
149,print_perfect_tm_platinum,,29.99,yamaha_piano_la_carte,,22.13,?
150,national_geographic_presents_redshift_planetarium,topics_entertainment,29.99,viva_media_llc_00257_my_sim_aquarium_win_2000_xp_vista,,19.97,?
151,dk_amazing_animals_11,globalsoftwarepublishing,9.99,global_software_a1826m2w_dk_amazing_animals_11_win_95_98_2000_xp_vista,globalsoftwarepublishing,9.08,?
152,microsoft_office_mac_2004_english_3pk_dsp_73101163,microsoft_corporation,,microsoft_office_2004_software_suite_oem_mac_apple_mac_software,,239.95,?
153,sony_playstation_3_disneys_pirates_of_the_caribbean_3_at_worlds_end,,59.99,backyard_soccer_mls_edition,,8.95,?
154,sony_sound_forge_9_boxed_upgrade,sony_media,232.05,sony_creative_software_sf9006_sound_forge_9_boxed_upgrade_sound_editing_sw,,127.97,?
155,crystal_reports_xi_developer_edition_business_objects_w1rdewx00,,400.03,210100533_pinnacle_studio_plus_titanium_edition_v_105_complete_package_1_user,,67.47,?
156,adventure_workshop_4th6th_grade_7th_edition,encore_software,19.99,encore_software_10119_adventure_workshop_4th6th_grade_7th_edition_win_xp,,18.97,?
157,multipurpose_laserinkjet_checks,,106.29,nova_print_explosion_deluxe_30,,46.99,?
158,procoder_3,,438.07,outlook_2007_edu_microsoft_54303865,,50.13,?
159,punch_professional_home_design_suite,punch_software,69.99,punch_software_35100_punch_home_design_suite_professional_complete_product_architectural_standard_1_user_s_complete_product_pc,,59.97,?
160,adobe_captivate_20,adobe,1083.95,adobe_captivate_2_software_for_windows_presentation_software,,598.95,?
161,sylvia_woods_teach_yourself_to_play_the_folk_harp,,40.3,elementary_school_advantage_2007,encore_software,29.99,?
162,clickart_12_million_2006_dvd,encore_software,,encore_inc_clickart_12_million_2006_dvd,,42.27,?
163,punch_professional_home_design_suite,punch_software,69.99,punch_software_35100_punch_professional_home_design_suite_small_box,punch_software,62.99,?
164,steinberg_sequel_pc_or_mac_music_creation_performance_software,steinberg,129.0,steinberg_sequel_music_software_music_production_software,,99.99,?
165,national_geographic_presents_redshift_5_planetarium_software,topics_entertainment,39.99,redshift_5_national_geographic_presents_win_98_me_2000_xp,,39.99,?
166,emc_auth_mgr_mnt_entupgext_15m_peru_505750u_aut0000750ue15,,16.0,pinnacle_tm_studio_plus_105_titanium_edition,,99.99,?
167,digidesign_music_production_toolkit_pro_tools_le,digidesign,495.0,digidesign_music_production_toolkit_music_production_software,,495.0,?
168,nuance_communications_inc_m009al004_0_pdf_create_v4_english,nuancecommunicationsinc,46.42,individual_software_jceth6_total_3d_home_deluxe_jc,individual_software,9.99,?
169,punch_software_punch_super_home_suite,,49.95,peachtree_by_sage_pro_accounting_2007,sage_software,169.99,?
